nhom,osm_id,ten,lat,lon
cong_vien,way/1193884926,,20.5257824,105.9060038
cong_vien,way/1193903479,,21.1147444,105.3989882
cong_vien,way/1194208984,,21.2209705,105.5171416
cong_vien,way/1194836328,,20.9973582,105.9443409
cong_vien,way/1196108668,,21.0358352,105.8369115
cong_vien,way/1196108669,,21.0354349,105.8367921
cong_vien,way/1196108670,,21.0354027,105.8370593
cong_vien,way/1196108671,,21.0355432,105.8373256
cong_vien,way/1196108672,,21.0358284,105.8373847
cong_vien,way/1196108674,,21.0357711,105.8377811
cong_vien,way/1196688060,,21.0291702,105.7941967
cong_vien,way/1196731931,,21.0063494,105.8557833
cong_vien,way/1196731932,,21.0041518,105.8565321
cong_vien,way/1196731954,,21.0066383,105.737736
cong_vien,way/1197414131,,20.9693508,105.9082609
cong_vien,way/1197730142,,21.0247,105.8467301
cong_vien,way/1197730143,,21.0245279,105.8471833
cong_vien,way/1198061249,,21.0099344,105.7691732
cong_vien,way/1198061250,,21.0087932,105.7687126
cong_vien,way/1199769968,,21.2886625,105.402191
cong_vien,way/1199780837,,21.2891285,105.4015391
cong_vien,way/1199780842,,21.2891464,105.4011056
cong_vien,way/1199780844,,21.28927,105.4009473
cong_vien,way/1199780846,,21.2894494,105.400503
cong_vien,way/1199780857,,21.289322,105.4001907
cong_vien,way/1199780858,,21.2895536,105.400019
cong_vien,way/1199782686,,21.2896174,105.3996217
cong_vien,way/1199782695,,21.2897302,105.3991911
cong_vien,way/1199782697,,21.2896069,105.3987927
cong_vien,way/1199796071,,21.2898395,105.398819
cong_vien,way/1199796073,,21.2898808,105.3986707
cong_vien,way/1199796075,,21.2899332,105.3983755
cong_vien,way/1199798578,,21.2888784,105.3967338
cong_vien,way/1199798579,,21.2884744,105.396366
cong_vien,way/1199896439,,21.2882907,105.4020764
cong_vien,way/1199896446,,21.2880813,105.4020012
cong_vien,way/1199896447,,21.2878341,105.4015862
cong_vien,way/1199896450,,21.2875713,105.4014234
cong_vien,way/1199896451,,21.2876925,105.4011921
cong_vien,way/1199896452,,21.2874102,105.401213
cong_vien,way/1199896453,,21.2871615,105.4009985
cong_vien,way/1199897055,,21.2869984,105.4007281
cong_vien,way/1199897057,,21.2869187,105.4005678
cong_vien,way/1199898742,,21.2884438,105.4014969
cong_vien,way/1200043606,,21.2896789,105.3853707
cong_vien,way/1200043610,,21.2886679,105.3994291
cong_vien,way/1200043614,,21.2892315,105.3997625
cong_vien,way/1200048312,,21.2877233,105.4006808
cong_vien,way/1200048316,,21.2879437,105.4009842
cong_vien,way/1200048319,,21.2880986,105.4014386
cong_vien,way/1200049676,,21.2878375,105.3975093
cong_vien,way/1200049680,,21.2883814,105.3975013
cong_vien,way/1200051509,,21.2889294,105.4006934
cong_vien,way/1200056610,,21.2886547,105.4002082
cong_vien,way/1200056611,,21.2883634,105.4007305
cong_vien,way/1200056614,,21.2877491,105.3995169
cong_vien,way/1200056618,,21.2881025,105.4001895
cong_vien,way/1200056619,,21.2884695,105.399907
cong_vien,way/1200612903,,21.2888094,105.4014772
cong_vien,way/1200612908,,21.2894164,105.4007556
cong_vien,way/1200612910,,21.2892963,105.4006817
cong_vien,way/1200618673,,21.2880023,105.4018911
cong_vien,way/1201005347,,21.288238,105.4012544
cong_vien,way/1201007320,,21.2881182,105.4017735
cong_vien,way/1201833133,,21.2882981,105.4079811
cong_vien,way/1201833137,,21.2877438,105.4106807
cong_vien,way/1201833138,,21.2876083,105.4110666
cong_vien,way/1202245897,,21.1852587,105.3077627
cong_vien,way/1202245899,,21.1849799,105.3073933
cong_vien,way/1202551534,,21.1955257,105.3261625
cong_vien,way/1202570019,,21.1885923,105.3415928
cong_vien,way/1205244309,,20.9956175,105.8670035
cong_vien,way/1206082740,,21.0726024,105.7108553
cong_vien,way/1209822359,Công viên - Bãi xe ngầm Mễ Trì Hạ,21.0139448,105.781639
cong_vien,way/1210089640,,21.0688204,105.8118677
cong_vien,way/1210236626,,21.0482436,105.784296
cong_vien,way/1210236629,,21.0489018,105.7843085
cong_vien,way/1210984005,Vườn hoa 1-6,21.0164554,105.8273126
cong_vien,way/1211556646,Công viên Hồ Xã Đàn,21.0127166,105.8308662
cong_vien,way/1211734383,,21.3162858,105.6014162
cong_vien,way/1211734384,,21.3155961,105.6011627
cong_vien,way/1212182621,,21.1532987,105.8953207
cong_vien,way/1213750915,,21.3034228,105.5671518
cong_vien,way/1213750916,,21.3028783,105.5690953
cong_vien,way/1213750917,,21.3020435,105.5680983
cong_vien,way/1213883583,,21.0515568,105.8074528
cong_vien,way/1215489700,Vườn hoa Trạm,21.0260345,105.8928088
cong_vien,way/1216054922,,21.035929,105.8343848
cong_vien,way/1216804010,,21.0272302,105.8929694
cong_vien,way/1217694029,,21.0258528,105.785235
cong_vien,way/1217694030,,21.0256511,105.7847055
cong_vien,way/1217694031,,21.0247792,105.7850649
cong_vien,way/1217694043,,21.0225614,105.7875336
cong_vien,way/1217933369,Vườn hoa Lâm Hạ,21.0408478,105.8817488
cong_vien,way/1218806900,,21.0087897,105.5373867
cong_vien,way/1218848971,Ánh Dương Garden,21.068044,105.886591
cong_vien,way/1219054785,,21.0366343,105.8344655
cong_vien,way/1219054792,,21.037012,105.8345446
cong_vien,way/1219524617,,21.035257,105.8258407
cong_vien,way/1220021925,,21.0297527,105.8533738
cong_vien,way/1220299383,,21.0268982,105.8522694
cong_vien,way/1222286377,,21.0292537,105.958504
cong_vien,way/1222467960,,20.9942884,105.9398096
cong_vien,way/1222467980,,20.9922898,105.9402728
cong_vien,way/1222468025,,20.9967086,105.9438076
cong_vien,way/1223137470,,20.9942795,105.9443476
cong_vien,way/1223169237,,20.9940891,105.9560367
cong_vien,way/1223169238,Ngoc Trai Lake-San Ho Park,20.9912806,105.949798
cong_vien,way/1223169255,,20.9951121,105.9491521
cong_vien,way/1223384698,Tonkin's park,20.9973654,105.7388959
cong_vien,way/1223408391,,20.9971984,105.9457708
cong_vien,way/1223490916,,20.9989,105.9483399
cong_vien,way/1223490974,Bien Ho Park,21.0000855,105.9482202
cong_vien,way/1223678132,,20.9999305,105.9429703
cong_vien,way/1223996604,,21.1118006,105.8303353
cong_vien,way/1224032232,,20.9916249,105.9470772
cong_vien,way/1224032281,,20.9898539,105.9503366
cong_vien,way/1224486078,Vườn Hồng,20.9878996,105.9430699
cong_vien,way/1224486089,,20.9882798,105.9439995
cong_vien,way/1224486090,,20.9879587,105.9445475
cong_vien,way/1225005148,,21.3528448,105.9808367
cong_vien,way/1225005149,,21.3520355,105.9815997
cong_vien,way/1225005151,,21.3501245,105.9820033
cong_vien,way/1226672997,,20.9970976,105.9560222
cong_vien,way/1228401032,,20.9626218,105.800912
cong_vien,way/1228551913,Công viên Ngô Miễn Thiệu,21.1834857,106.0679564
cong_vien,way/1228784727,,21.0063803,105.7339859
cong_vien,way/1228803820,,21.0076203,105.7307851
cong_vien,way/1229451578,,21.0101486,105.7702775
cong_vien,way/1229858803,,21.0025033,105.8311161
cong_vien,way/1231837152,,21.0129181,105.9462509
cong_vien,way/1234036437,Music Garden,21.023846,105.8577411
cong_vien,way/1234036438,,21.0244738,105.8579702
cong_vien,way/1235836330,,20.6543655,106.0713226
cong_vien,way/1242858120,,21.0447929,105.7838493
cong_vien,way/1245420965,,21.0235634,105.7763588
cong_vien,way/1248970095,Vườn thực vật,21.0400082,105.7855966
cong_vien,way/1250193564,Vườn hoa Đàn Nam,21.0108471,105.8500103
cong_vien,way/1250726826,,21.0306278,105.9081724
cong_vien,way/1250726827,,21.030952,105.9085324
cong_vien,way/1251537900,,21.0644796,105.915195
cong_vien,way/1251887323,,21.0595868,105.9156249
cong_vien,way/1253839879,Công viên hồ Cần,20.9966886,105.8753215
cong_vien,way/1253894207,,21.0036897,105.8417353
cong_vien,way/1253894208,,21.003745,105.8418573
cong_vien,way/1253894209,,21.0036905,105.8417964
cong_vien,way/1253894210,,21.003682,105.841963
cong_vien,way/1253905584,Khu cảnh quan,21.018929,105.9336867
cong_vien,way/1255921541,,21.039189,105.8468914
cong_vien,way/1256790914,Công viên Tam Lư,21.1237446,105.9757766
cong_vien,way/1256790915,Công viên Tam Lư,21.1230746,105.9763919
cong_vien,way/1256790917,,21.1234211,105.9747494
cong_vien,way/1256790921,,21.121344,105.9743705
cong_vien,way/1257492050,Sân betong bóng rổ + đá bóng mini,20.9620552,105.8019076
cong_vien,way/1258166110,Trung tâm sinh thái giáo dục V-Eco,21.0159872,105.9304332
cong_vien,way/1258677284,,21.0152496,105.9328496
cong_vien,way/1258677285,,21.0152466,105.9328116
cong_vien,way/1258677286,,21.0142428,105.9327803
cong_vien,way/1258677287,,21.0142233,105.9328272
cong_vien,way/1258677288,,21.0169321,105.9325936
cong_vien,way/1258677289,,21.0165551,105.9325708
cong_vien,way/1259106184,,21.0151103,105.9274822
cong_vien,way/1259638510,,21.1930019,105.7240805
cong_vien,way/1259638511,,21.1909515,105.722307
cong_vien,way/1271711426,,20.9972057,105.8549911
cong_vien,way/1276084633,,21.293058,105.5821226
cong_vien,way/1276674298,,20.967377,105.8248019
cong_vien,way/1276674299,,20.9662629,105.8237166
cong_vien,way/1276674300,,20.9638285,105.8247633
cong_vien,way/1277765302,,20.9495657,105.7897202
cong_vien,way/1277765303,,20.947939,105.7911324
cong_vien,way/1277765304,,20.947635,105.7920558
cong_vien,way/1277765305,,20.9490479,105.7894903
cong_vien,way/1277765306,,20.9468942,105.7909342
cong_vien,way/1277766296,,20.9461845,105.7911493
cong_vien,way/1278002275,,20.9942391,105.733155
cong_vien,way/1278372814,,20.6658295,106.0636576
cong_vien,way/1278680461,,21.3159694,105.6835353
cong_vien,way/1278806798,,21.061963,105.9345824
cong_vien,way/1279360038,,20.6579593,106.0515042
cong_vien,way/1279360039,,20.6559285,106.0513853
cong_vien,way/1289605166,Vườn hoa Công đoàn,21.0100785,105.8251991
cong_vien,way/1289684531,,21.040179,105.8336276
cong_vien,way/1289684535,,21.0404186,105.8345865
cong_vien,way/1289684538,,21.0414303,105.8358566
cong_vien,way/1289793407,,21.0372564,105.8328398
cong_vien,way/1289799540,,21.0370572,105.8340038
cong_vien,way/1289824618,,21.0357775,105.8334872
cong_vien,way/1289825163,,21.0359051,105.833378
cong_vien,way/1289832769,,21.0415295,105.8355715
cong_vien,way/1290165279,,21.0381676,105.8329112
cong_vien,way/1290167945,Vườn hoa Hoàng Văn Thụ,21.0386837,105.8394833
cong_vien,way/1290167956,,21.0408563,105.8365189
cong_vien,way/1290167957,,21.0406555,105.8364787
cong_vien,way/1291683335,,21.0675627,105.7078353
cong_vien,way/1292544276,Công viên Ba Mẫu,21.0125196,105.8401129
cong_vien,way/1292544286,Vườn hoa Hàng Vôi,21.0292528,105.8567293
cong_vien,way/1293662174,,21.1901787,106.0611967
cong_vien,way/1294623751,,21.1906115,106.0602435
cong_vien,way/1295967064,,20.9985854,105.953488
cong_vien,way/1296634546,,21.0339309,106.0749438
cong_vien,way/1301799743,,21.0335656,105.8341834
cong_vien,way/1302031826,,21.0320897,105.8220238
cong_vien,way/1302160236,,21.0340201,105.8417356
cong_vien,way/1302521021,,21.0349384,105.8341791
cong_vien,way/1302807416,,21.0396988,105.839442
cong_vien,way/1303095703,,21.0420606,105.8215011
cong_vien,way/1303095705,,21.0410803,105.82212
cong_vien,way/1303095706,,21.0414726,105.82231
cong_vien,way/1303107850,,21.0401114,105.8217972
